zona;marca;descripcion;calibre;fleje;precio;descuento;dinamica
Nunez;-;Salta Cautiva Cerveza Rubia 1 X 473 mL;473 ml;3519.0;7.44;100;100% OFF
Nunez;-;Rabieta Cerveza Irish Red Ale 1 X 473 mL;473 ml;4059.0;7.73;100;10% OFF
Nunez;-;Antares Kolsch Cerveza 1 X 473 mL;473 ml;4549.0;6.74;100;30% OFF
Nunez;-;Bitburger Cerveza 1 X 330 mL;330 ml;4919.0;14.91;100;100% OFF
Nunez;-;Miller Cerveza Genuine Draft en Lata 1 X 710 mL;710 ml;5949.0;7.13;100;15% OFF
Nunez;-;Grolsch Cerveza Ipa 1 X 473 mL;473 ml;4809.0;8.14;100;20% OFF
Nunez;-;Rabieta Cerveza Golden Ale 1 X 473 mL;473 ml;4059.0;4.3;100;50% OFF
Nunez;-;Salta Cerveza Session Ipa 1 x 473 mL;473 ml;3619.0;6.13;100;20% OFF
Nunez;-;Blue Moon Belgian White Lata 473 ml 1 x 473 mL;473 ml;5299.0;11.21;100;100% OFF
Nunez;-;Bitburger Cerveza 1 X 500 mL;500 ml;5709.0;11.42;100;100% OFF
Nunez;-;Kostritzer Cerveza Schwarzbier 1 X 500 mL;500 ml;7109.0;11.38;100;20% OFF
Nunez;-;6 x Sixpack Blue Moon Belgian White Lata;-;31794.0;11.21;100;Pack
Nunez;-;Cerveza Kunstmann Session Ipa 470ml 1 X 470 mL;470 ml;5049.0;10.75;100;100% OFF
Nunez;-;Combo;-;6868.0;6868.0;0;0% OFF
Nunez;-;Warsteiner Cerveza 330 ml 1 x 330 mL;330 ml;3509.0;10.64;100;100% OFF
Nunez;-;6 x Quilmes Ipa;-;17214.0;6.07;100;Pack
Nunez;-;6 x Patagonia Lager del Sur 473 mL;473 ml;32634.0;7.48;100;35% OFF
Nunez;-;6 x Andes Cerveza Roja Origen Mendocina;-;22014.0;5.05;100;35% OFF
Nunez;-;6 x Quilmes 0.0% Cerveza Rubia;-;14214.0;3.01;100;40% OFF
Nunez;-;6 x Patagonia Vera Ipa;-;32634.0;7.48;100;35% OFF
Nunez;-;6 x Sixpack Grolsch Cerveza;-;26934.0;7.12;100;25% OFF
Nunez;-;6 x Corona 473 mL;473 ml;30954.0;7.09;100;35% OFF
Nunez;-;Estrella Galicia Cerveza sin Gluten Lata 330ml 1 x 330 mL;330 ml;3649.0;11.06;100;100% OFF
Nunez;-;6 x Estrella Cerveza Galicia Sin Gluten X 330 mL;330 ml;21894.0;11.06;100;Pack
