zona;marca;descripcion;calibre;fleje;precio;descuento;dinamica
Nunez;-;Cerveza Quilmes Ipa 473 cc 1 X 473 mL;473 cc;2869.0;6.07;100;100% OFF
Nunez;-;Imperial Cerveza Ipa 1 X 473 mL;473 ml;3819.0;6.87;100;15% OFF
Nunez;-;Cerveza Patagonia Lager Del Sur 473 cc 1 X 473 mL;473 cc;5439.0;7.48;100;35% OFF
Nunez;-;Antares Cerveza Caravana Session Ipa 1 X 473 mL;473 ml;4559.0;6.75;100;30% OFF
Nunez;-;Stella Artois Cerveza 0% 1 X 330 mL;330 ml;3589.0;6.53;100;40% OFF
Nunez;-;Antares Cerveza Lager 1 x 473 mL;473 ml;3839.0;5.69;100;30% OFF
Nunez;-;Imperial Cerveza Ligera Golden 1 X 473 mL;473 ml;3589.0;7.59;100;100% OFF
Nunez;-;Imperial Apa Cerveza American Pale Ale Rubia 1 X 473 mL;473 ml;3759.0;7.95;100;100% OFF
Nunez;-;Salta Cautiva Cerveza Rubia 1 X 473 mL;473 ml;3519.0;4.84;100;35% OFF
Nunez;-;Rabieta Cerveza Irish Red Ale 1 X 473 mL;473 ml;4059.0;7.73;100;10% OFF
Nunez;-;Antares Kolsch Cerveza 1 X 473 mL;473 ml;4539.0;6.72;100;30% OFF
Nunez;-;Bitburger Cerveza 1 X 330 mL;330 ml;4919.0;14.91;100;100% OFF
Nunez;-;Miller Cerveza Genuine Draft en Lata 1 X 710 mL;710 ml;5949.0;7.13;100;15% OFF
Nunez;-;Grolsch Cerveza Ipa 1 X 473 mL;473 ml;4809.0;8.14;100;20% OFF
Nunez;-;Rabieta Cerveza American Ipa 1 X 473 mL;473 ml;4549.0;9.62;100;100% OFF
Nunez;-;Salta Cerveza Session Ipa 1 x 473 mL;473 ml;3609.0;4.96;100;35% OFF
Nunez;-;Blue Moon Belgian White Lata 473 ml 1 x 473 mL;473 ml;5299.0;7.29;100;35% OFF
Nunez;-;Bitburger Cerveza 1 X 500 mL;500 ml;5709.0;11.42;100;100% OFF
Nunez;-;Kostritzer Cerveza Schwarzbier 1 X 500 mL;500 ml;7109.0;11.38;100;20% OFF
Nunez;-;6 x Sixpack Blue Moon Belgian White Lata;-;31794.0;7.29;100;35% OFF
Nunez;-;6 x Estrella Cerveza Galicia Sin Gluten X 330 mL;330 ml;21894.0;11.06;100;Pack
Nunez;-;6 x Imperial Golden 330 mL;330 ml;23814.0;12.03;100;Pack
Nunez;-;Cerveza Kunstmann Session Ipa 470ml 1 X 470 mL;470 ml;5049.0;10.75;100;100% OFF
Nunez;-;Estrella Galicia Cerveza sin Gluten Lata 330ml 1 x 330 mL;330 ml;3649.0;11.06;100;100% OFF
Nunez;-;6 x Estrella Cerveza Galicia 0.0 Tostada 330 mL;330 ml;24354.0;12.3;100;Pack
Nunez;-;6 x Patagonia Vera Ipa;-;32634.0;7.48;100;35% OFF
Nunez;-;6 x Sixpack Warsteiner Cerveza;-;23694.0;6.27;100;25% OFF
Nunez;-;6 x Sixpack Miller Cerveza;-;23874.0;8.42;100;Pack
Nunez;-;4 x Stella Artois Premium Lager 710 mL;710 ml;27436.0;9.67;100;Pack
Nunez;-;Combo;330 ml;7438.0;7438.0;0;0% OFF
Nunez;-;6 x Quilmes Cerveza Clásica;-;17034.0;3.91;100;35% OFF
Nunez;-;6 x Quilmes Cerveza Stout;-;17394.0;3.99;100;35% OFF
Nunez;-;6 x Sixpack Patagonia Cerveza Session Ipa K24.7;-;34254.0;7.85;100;35% OFF
Nunez;-;6 x Quilmes 0.0% Cerveza Rubia;-;14214.0;3.01;100;40% OFF
Nunez;-;6 x Sixpack Schneider Cerveza Rubia;-;18474.0;6.51;100;Pack
Nunez;-;6 x Cerveza 1890 473 mL;473 ml;14634.0;4.65;100;10% OFF
Nunez;-;4 x Andes Origen Rubia 710 mL;710 ml;20356.0;7.17;100;Pack
Nunez;-;6 x Imperial Lager Rubia Sabor Intenso 710 mL;710 ml;30714.0;6.13;100;15% OFF
Nunez;-;4 x Quilmes Clásica 710 mL;710 ml;16236.0;4.58;100;20% OFF
Nunez;-;6 x Blue Moon Belgian White 355 mL;355 ml;35334.0;10.79;100;35% OFF
Nunez;-;6 x Sixpack Grolsch Cerveza;-;26934.0;7.12;100;25% OFF
Nunez;-;6 x Andes Origen Oro 473 mL;473 ml;21114.0;4.84;100;35% OFF
Nunez;-;6 x Sixpack Imperial Cerveza Golden;-;21534.0;7.59;100;Pack
Nunez;-;6 x Patagonia Lager del Sur 473 mL;473 ml;32634.0;7.48;100;35% OFF
Nunez;-;6 x Imperial Roja Amber Lager 473 mL;473 ml;22554.0;7.95;100;Pack
Nunez;-;6 x Quilmes Ipa;-;17214.0;6.07;100;Pack
Nunez;-;6 x Sixpack Heineken Cerveza;-;27474.0;8.23;100;15% OFF
Nunez;-;6 x Patagonia Cerveza Amber Lager;-;34014.0;7.79;100;35% OFF
Nunez;-;6 x Sixpack Imperial Cerveza Ipa;-;22914.0;6.87;100;15% OFF
Nunez;-;6 x Sixpack Amstel Cerveza Lager;-;19134.0;4.72;100;30% OFF
Nunez;-;6 x Salta Cautiva Session 473 mL;473 ml;21654.0;4.96;100;35% OFF
Nunez;-;3 x Miller 330 mL;330 ml;13153.56;13.29;100;Pack
Nunez;-;6 x Miller Rubia 330 mL;330 ml;26307.12;13.29;100;Pack
Nunez;-;2 x Miller 330 mL;330 ml;8769.04;13.29;100;Pack
Nunez;-;6 x Andes Cerveza Rubia Origen Mendocina;-;22134.0;5.07;100;35% OFF
Nunez;-;6 x Corona 473 mL;473 ml;30954.0;7.09;100;35% OFF
Nunez;-;4 x Budweiser 710 mL;710 ml;18276.0;6.44;100;Pack
Nunez;-;6 x Schneider Lager 710 mL;710 ml;26214.0;5.23;100;15% OFF
Nunez;-;Stella Artois Cerveza 710 ml 1 x 710 mL;710 ml;6000.0;5.5;100;35% OFF
Nunez;-;6 x Stella Artois 0.0%;-;22314.0;5.12;100;35% OFF
Nunez;-;6 x Stella Artois Porrón 330 mL;330 ml;26934.0;8.17;100;40% OFF
Nunez;-;6 x Andes Cerveza Roja Origen Mendocina;-;22134.0;5.07;100;35% OFF
Nunez;-;6 x Heineken Rubia 710 mL;710 ml;41214.0;8.23;100;15% OFF
Nunez;-;Estrella Damm Cerveza 1 X 500 mL;500 ml;2639.0;5.28;100;100% OFF
Nunez;-;Pronto de vuelta 1 X 473 mL;473 ml;3399.0;5.03;100;30% OFF
Nunez;-;Pronto de vuelta 1 X 710 mL;710 ml;5119.0;6.13;100;15% OFF
Nunez;-;Pronto de vuelta 1 X 410 mL;410 cc;6439.0;10.21;100;35% OFF
Nunez;-;Pronto de vuelta 1 X 355 mL;355 ml;2369.0;6.68;100;100% OFF
